ano,bimestre,materia,data,texto
2024,2,matematica,2 ABR,"2 ABR
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501A) Compreender o 
conceito de função polinomial do 1º
grau, identificando a relação entre 
duas variáveis apresentadas em
textos de origem socioeconômicas 
e/ou de natureza técnico ou
científica, entre outros para resolver 
situações problemas do cotidiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Funções
polinomiais do 1º
grau (função afim,
função linear,
função constante,
função identidade)
Aplicação de Atividades via 
recursos digitais
Realização de Atividades via recursos 
digitais"
2024,2,matematica,3 ABR,"3 ABR
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501A) Compreender o 
conceito de função polinomial do 1º
grau, identificando a relação entre 
duas variáveis apresentadas em
textos de origem socioeconômicas 
e/ou de natureza técnico ou
científica, entre outros para resolver 
situações problemas do cotidiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Funções
polinomiais do 1º
grau (função afim,
função linear,
função constante,
função identidade)
Atividade de fixação das 
aprendizagem; Aula expositiva 
participativa
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,2,matematica,4 ABR,"4 ABR
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501A) Compreender o 
conceito de função polinomial do 1º
grau, identificando a relação entre 
duas variáveis apresentadas em
textos de origem socioeconômicas 
e/ou de natureza técnico ou
científica, entre outros para resolver 
situações problemas do cotidiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Funções
polinomiais do 1º
grau (função afim,
função linear,
função constante,
função identidade)
Aula expositiva participativa
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,2,matematica,5 ABR,"5 ABR
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501D) Compreender as 
relações estabelecidas entre duas
grandezas, analisando os dados e 
informações apresentadas em
quadros e tabelas para construir 
gráficos de funções polinomiais do 
1º
grau.
; OBJETIVOS DE 
APRENDIZAGEM DO DC-GOEM - 
(GO-EMMAT501E) Investigar 
relações entre números expressos 
em
tabelas simples, identificando 
padrões e criando conjecturas para
representar pontos no plano 
cartesiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de
funções
Atividade de fixação das 
aprendizagem
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,2,matematica,9 ABR,"9 ABR
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501D) Compreender as 
relações estabelecidas entre duas
grandezas, analisando os dados e 
informações apresentadas em
quadros e tabelas para construir 
gráficos de funções polinomiais do 
1º
grau.
; OBJETIVOS DE 
APRENDIZAGEM DO DC-GOEM - 
(GO-EMMAT501E) Investigar 
relações entre números expressos 
em
tabelas simples, identificando 
padrões e criando conjecturas para
representar pontos no plano 
cartesiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de
funções
Atividade de fixação das 
aprendizagem
Envolvimento e participação nas 
discussões

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,2,matematica,0 ABR,"0 ABR OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501D) Compreender as 
relações estabelecidas entre duas
grandezas, analisando os dados e 
informações apresentadas em
quadros e tabelas para construir 
gráficos de funções polinomiais do 
1º
grau.
; OBJETIVOS DE 
APRENDIZAGEM DO DC-GOEM - 
(GO-EMMAT501E) Investigar 
relações entre números expressos 
em
tabelas simples, identificando 
padrões e criando conjecturas para
representar pontos no plano 
cartesiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de
funções
Aula expositiva participativa
Apresentação de trabalhos em grupo 
e/ou individual

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,2,matematica,1 ABR,"1 ABR OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT501D) Compreender as 
relações estabelecidas entre duas
grandezas, analisando os dados e 
informações apresentadas em
quadros e tabelas para construir 
gráficos de funções polinomiais do 
1º
grau.
; OBJETIVOS DE 
APRENDIZAGEM DO DC-GOEM - 
(GO-EMMAT501E) Investigar 
relações entre números expressos 
em
tabelas simples, identificando 
padrões e criando conjecturas para
representar pontos no plano 
cartesiano.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de
funções
Atividade de fixação das 
aprendizagem
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA"
2024,3,matematica,1 AGO,"1 AGO
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT402B) Construir um quadro 
ou tabela simples que relacione as
variáveis de uma função polinomial 
do 2º grau, atribuindo valores para 
a
variável independente e 
determinando o valor da variável 
dependente para
representar geometricamente, no 
plano cartesiano, os pares 
ordenados
obtidos.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de funções
a partir de
transformações no
plano
Atividade de fixação das 
aprendizagem
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,3,matematica,1 AGO,"1 AGO
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT402B) Construir um quadro 
ou tabela simples que relacione as
variáveis de uma função polinomial 
do 2º grau, atribuindo valores para 
a
variável independente e 
determinando o valor da variável 
dependente para
representar geometricamente, no 
plano cartesiano, os pares 
ordenados
obtidos.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de funções
a partir de
transformações no
plano
Atividade de fixação das 
aprendizagem
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
2024,3,matematica,1 AGO,"1 AGO
OBJETIVOS DE APRENDIZAGEM 
DO DC-GOEM - (GO-
EMMAT402B) Construir um quadro 
ou tabela simples que relacione as
variáveis de uma função polinomial 
do 2º grau, atribuindo valores para 
a
variável independente e 
determinando o valor da variável 
dependente para
representar geometricamente, no 
plano cartesiano, os pares 
ordenados
obtidos.
OBJETOS DE CONHECIMENTO
DO DC-GOEM - Gráficos de funções
a partir de
transformações no
plano
Atividade de fixação das 
aprendizagem
Resolução de atividades propostas

Conteúdos Planejados
Composição: Ensino Médio Concomitante Intercomplementar à Educação Profissional - Técnico em Desenvolvimento em Web e Cibersegurança     
Serie: 1ª Série
Turma: 1A - 20246
Turno: Matutino
Professor: MARCELO
Escola: CENTRO DE ENSINO EM PERÍODO INTEGRAL PROFESSOR JOAQUIM CARVALHO FERREIRA
Disciplina: MATEMÁTICA
Aula
Expectativas de Aprendizagem
Conteúdos
Metodologia
Avaliação"
